hotel_name,location,county,country,description,price_range,amenities,room_types,rating,nearby_attractions,category,source_url,combined_text
Basecamp Masai Mara,Maasai Mara,Narok,Kenya,Eco friendly tented camp focusing on sustainable tourism and community projects,200-600 USD,Restaurant|Bar|Game Drives|Cultural Visits|Bird Watching,Tent|Suite Tent,4.6,Maasai Mara|Maasai Village|Mara River,Eco Lodge,https://www.basecampexplorer.com,"Hotel: Basecamp Masai Mara. Location: Maasai Mara, Kenya. Category: Eco Lodge. Description: Eco friendly tented camp focusing on sustainable tourism and community projects. Price range: 200-600 USD. Amenities: Restaurant, Bar, Game Drives, Cultural Visits, Bird Watching. Room types: Tent, Suite Tent. Rating: 4.6 out of 5. Nearby attractions: Maasai Mara, Maasai Village, Mara River."
Mara Intrepids Camp,Maasai Mara,Narok,Kenya,Elegant tented camp on the Talek River inside Maasai Mara,250-700 USD,WiFi|Restaurant|Bar|Pool|Game Drives|Hot Air Balloon,Tent|Suite Tent,4.7,Maasai Mara|Talek River|Great Migration,Luxury Tented Camp,https://www.heritagehotels.co.ke,"Hotel: Mara Intrepids Camp. Location: Maasai Mara, Kenya. Category: Luxury Tented Camp. Description: Elegant tented camp on the Talek River inside Maasai Mara. Price range: 250-700 USD. Amenities: WiFi, Restaurant, Bar, Pool, Game Drives, Hot Air Balloon. Room types: Tent, Suite Tent. Rating: 4.7 out of 5. Nearby attractions: Maasai Mara, Talek River, Great Migration."
Keekorok Lodge,Maasai Mara,Narok,Kenya,First lodge in Maasai Mara established in 1962 with old world safari charm,150-450 USD,WiFi|Pool|Restaurant|Bar|Game Drives,Standard|Suite|Treehouse,4.4,Maasai Mara|Great Migration|Hippo Pool,Lodge,https://www.sunafricahotels.com,"Hotel: Keekorok Lodge. Location: Maasai Mara, Kenya. Category: Lodge. Description: First lodge in Maasai Mara established in 1962 with old world safari charm. Price range: 150-450 USD. Amenities: WiFi, Pool, Restaurant, Bar, Game Drives. Room types: Standard, Suite, Treehouse. Rating: 4.4 out of 5. Nearby attractions: Maasai Mara, Great Migration, Hippo Pool."
Ol Seki Hemingways Mara,Maasai Mara,Narok,Kenya,Intimate luxury camp in private conservancy bordering Maasai Mara,500-1200 USD,Restaurant|Bar|Game Drives|Bush Walks|Hot Air Balloon,Suite Tent,4.9,Maasai Mara|Private Conservancy|Great Migration,Ultra Luxury,https://www.hemingways.com,"Hotel: Ol Seki Hemingways Mara. Location: Maasai Mara, Kenya. Category: Ultra Luxury. Description: Intimate luxury camp in private conservancy bordering Maasai Mara. Price range: 500-1200 USD. Amenities: Restaurant, Bar, Game Drives, Bush Walks, Hot Air Balloon. Room types: Suite Tent. Rating: 4.9 out of 5. Nearby attractions: Maasai Mara, Private Conservancy, Great Migration."
Sentrim Mara Camp,Maasai Mara,Narok,Kenya,Affordable tented camp with good game viewing inside Maasai Mara,100-300 USD,Restaurant|Bar|Game Drives,Tent|Standard Tent,4.0,Maasai Mara|Mara River,Budget Tented Camp,https://www.sentrimhotels.com,"Hotel: Sentrim Mara Camp. Location: Maasai Mara, Kenya. Category: Budget Tented Camp. Description: Affordable tented camp with good game viewing inside Maasai Mara. Price range: 100-300 USD. Amenities: Restaurant, Bar, Game Drives. Room types: Tent, Standard Tent. Rating: 4.0 out of 5. Nearby attractions: Maasai Mara, Mara River."
Tipilikwani Mara Camp,Maasai Mara,Narok,Kenya,Mid range camp on the Talek River with excellent game viewing,150-400 USD,WiFi|Restaurant|Bar|Game Drives|Cultural Visits,Tent|Suite Tent,4.3,Maasai Mara|Talek River|Maasai Village,Tented Camp,https://www.tipilikwani.com,"Hotel: Tipilikwani Mara Camp. Location: Maasai Mara, Kenya. Category: Tented Camp. Description: Mid range camp on the Talek River with excellent game viewing. Price range: 150-400 USD. Amenities: WiFi, Restaurant, Bar, Game Drives, Cultural Visits. Room types: Tent, Suite Tent. Rating: 4.3 out of 5. Nearby attractions: Maasai Mara, Talek River, Maasai Village."
Amboseli Serena Safari Lodge,Amboseli,Kajiado,Kenya,Elegant lodge in Amboseli with views of Mount Kilimanjaro and elephant herds,200-600 USD,WiFi|Pool|Restaurant|Bar|Game Drives|Cultural Visits,Standard|Suite,4.7,Amboseli National Park|Mount Kilimanjaro|Maasai Village,Luxury Lodge,https://www.serenahotels.com,"Hotel: Amboseli Serena Safari Lodge. Location: Amboseli, Kenya. Category: Luxury Lodge. Description: Elegant lodge in Amboseli with views of Mount Kilimanjaro and elephant herds. Price range: 200-600 USD. Amenities: WiFi, Pool, Restaurant, Bar, Game Drives, Cultural Visits. Room types: Standard, Suite. Rating: 4.7 out of 5. Nearby attractions: Amboseli National Park, Mount Kilimanjaro, Maasai Village."
Ol Tukai Lodge,Amboseli,Kajiado,Kenya,Centrally located lodge in Amboseli with iconic Kilimanjaro views and elephant sightings,150-500 USD,WiFi|Pool|Restaurant|Bar|Game Drives,Standard|Suite,4.6,Amboseli National Park|Mount Kilimanjaro|Observation Hill,Lodge,https://www.oltukailodge.com,"Hotel: Ol Tukai Lodge. Location: Amboseli, Kenya. Category: Lodge. Description: Centrally located lodge in Amboseli with iconic Kilimanjaro views and elephant sightings. Price range: 150-500 USD. Amenities: WiFi, Pool, Restaurant, Bar, Game Drives. Room types: Standard, Suite. Rating: 4.6 out of 5. Nearby attractions: Amboseli National Park, Mount Kilimanjaro, Observation Hill."
Tortilis Camp,Amboseli,Kajiado,Kenya,Exclusive tented camp in private conservancy with stunning Kilimanjaro backdrop,400-1000 USD,Restaurant|Bar|Game Drives|Bush Walks|Cycling,Tent|Suite Tent|Family Tent,4.9,Amboseli National Park|Mount Kilimanjaro|Chyulu Hills,Ultra Luxury,https://www.tortilis.com,"Hotel: Tortilis Camp. Location: Amboseli, Kenya. Category: Ultra Luxury. Description: Exclusive tented camp in private conservancy with stunning Kilimanjaro backdrop. Price range: 400-1000 USD. Amenities: Restaurant, Bar, Game Drives, Bush Walks, Cycling. Room types: Tent, Suite Tent, Family Tent. Rating: 4.9 out of 5. Nearby attractions: Amboseli National Park, Mount Kilimanjaro, Chyulu Hills."
Kibo Safari Camp,Amboseli,Kajiado,Kenya,Comfortable tented camp with great Kilimanjaro views at affordable prices,80-250 USD,WiFi|Restaurant|Bar|Game Drives,Tent|Standard Tent,4.2,Amboseli National Park|Mount Kilimanjaro,Tented Camp,https://www.kibosafaricamp.com,"Hotel: Kibo Safari Camp. Location: Amboseli, Kenya. Category: Tented Camp. Description: Comfortable tented camp with great Kilimanjaro views at affordable prices. Price range: 80-250 USD. Amenities: WiFi, Restaurant, Bar, Game Drives. Room types: Tent, Standard Tent. Rating: 4.2 out of 5. Nearby attractions: Amboseli National Park, Mount Kilimanjaro."
Amboseli Eco Lodge,Amboseli,Kajiado,Kenya,Eco friendly lodge focusing on sustainable tourism near Amboseli,100-300 USD,WiFi|Restaurant|Bar|Game Drives|Bird Watching,Standard|Suite,4.3,Amboseli National Park|Mount Kilimanjaro|Maasai Village,Eco Lodge,https://www.amboseliecolodge.com,"Hotel: Amboseli Eco Lodge. Location: Amboseli, Kenya. Category: Eco Lodge. Description: Eco friendly lodge focusing on sustainable tourism near Amboseli. Price range: 100-300 USD. Amenities: WiFi, Restaurant, Bar, Game Drives, Bird Watching. Room types: Standard, Suite. Rating: 4.3 out of 5. Nearby attractions: Amboseli National Park, Mount Kilimanjaro, Maasai Village."
Sentrim Amboseli,Amboseli,Kajiado,Kenya,Budget friendly camp in Amboseli good for backpackers and budget travelers,50-150 USD,Restaurant|Bar|Game Drives,Tent|Standard,3.8,Amboseli National Park|Mount Kilimanjaro,Budget,https://www.sentrimhotels.com,"Hotel: Sentrim Amboseli. Location: Amboseli, Kenya. Category: Budget. Description: Budget friendly camp in Amboseli good for backpackers and budget travelers. Price range: 50-150 USD. Amenities: Restaurant, Bar, Game Drives. Room types: Tent, Standard. Rating: 3.8 out of 5. Nearby attractions: Amboseli National Park, Mount Kilimanjaro."
Kinangop Cottage,Nanyuki,Laikipia,Kenya,Cosy cottage near Mount Kenya offering hiking and nature experiences,40-100 USD,WiFi|Restaurant|Hiking|Bird Watching|Garden,Standard|Cottage,4.1,Mount Kenya|Aberdare Ranges,Budget,https://www.kinangop.com,"Hotel: Kinangop Cottage. Location: Nanyuki, Kenya. Category: Budget. Description: Cosy cottage near Mount Kenya offering hiking and nature experiences. Price range: 40-100 USD. Amenities: WiFi, Restaurant, Hiking, Bird Watching, Garden. Room types: Standard, Cottage. Rating: 4.1 out of 5. Nearby attractions: Mount Kenya, Aberdare Ranges."
Fairmont Mount Kenya Safari Club,Nanyuki,Laikipia,Kenya,Historic luxury club on the equator with Mount Kenya views and wildlife sanctuary,300-800 USD,WiFi|Pool|Restaurant|Bar|Spa|Gym|Golf|Tennis|Wildlife Sanctuary,Standard|Suite|Cottage|Villa,4.8,Mount Kenya|Equator|Mount Kenya Wildlife Conservancy,Luxury,https://www.fairmont.com,"Hotel: Fairmont Mount Kenya Safari Club. Location: Nanyuki, Kenya. Category: Luxury. Description: Historic luxury club on the equator with Mount Kenya views and wildlife sanctuary. Price range: 300-800 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Gym, Golf, Tennis, Wildlife Sanctuary. Room types: Standard, Suite, Cottage, Villa. Rating: 4.8 out of 5. Nearby attractions: Mount Kenya, Equator, Mount Kenya Wildlife Conservancy."
Serena Mountain Lodge,Nanyuki,Laikipia,Kenya,Unique treehouse style lodge overlooking a floodlit waterhole attracting wildlife,200-500 USD,Restaurant|Bar|Wildlife Viewing|Bird Watching,Standard|Suite,4.6,Mount Kenya|Aberdare Forest,Lodge,https://www.serenahotels.com,"Hotel: Serena Mountain Lodge. Location: Nanyuki, Kenya. Category: Lodge. Description: Unique treehouse style lodge overlooking a floodlit waterhole attracting wildlife. Price range: 200-500 USD. Amenities: Restaurant, Bar, Wildlife Viewing, Bird Watching. Room types: Standard, Suite. Rating: 4.6 out of 5. Nearby attractions: Mount Kenya, Aberdare Forest."
Ol Pejeta Bush Camp,Nanyuki,Laikipia,Kenya,Intimate bush camp inside Ol Pejeta Conservancy home to the last northern white rhinos,250-700 USD,Restaurant|Bar|Game Drives|Rhino Tracking|Chimpanzee Sanctuary,Tent|Suite Tent,4.8,Ol Pejeta Conservancy|Mount Kenya|Northern White Rhino,Tented Camp,https://www.olpejetabushcamp.com,"Hotel: Ol Pejeta Bush Camp. Location: Nanyuki, Kenya. Category: Tented Camp. Description: Intimate bush camp inside Ol Pejeta Conservancy home to the last northern white rhinos. Price range: 250-700 USD. Amenities: Restaurant, Bar, Game Drives, Rhino Tracking, Chimpanzee Sanctuary. Room types: Tent, Suite Tent. Rating: 4.8 out of 5. Nearby attractions: Ol Pejeta Conservancy, Mount Kenya, Northern White Rhino."
Sweetwaters Serena Camp,Nanyuki,Laikipia,Kenya,Classic tented camp inside Ol Pejeta Conservancy with chimpanzee sanctuary visits,200-500 USD,WiFi|Restaurant|Bar|Game Drives|Chimpanzee Visits|Rhino Tracking,Tent|Suite Tent,4.7,Ol Pejeta|Mount Kenya|Rhino Sanctuary,Luxury Tented Camp,https://www.serenahotels.com,"Hotel: Sweetwaters Serena Camp. Location: Nanyuki, Kenya. Category: Luxury Tented Camp. Description: Classic tented camp inside Ol Pejeta Conservancy with chimpanzee sanctuary visits. Price range: 200-500 USD. Amenities: WiFi, Restaurant, Bar, Game Drives, Chimpanzee Visits, Rhino Tracking. Room types: Tent, Suite Tent. Rating: 4.7 out of 5. Nearby attractions: Ol Pejeta, Mount Kenya, Rhino Sanctuary."
Lewa Safari Camp,Nanyuki,Laikipia,Kenya,Exclusive tented camp inside Lewa Wildlife Conservancy with big five game viewing,500-1200 USD,Restaurant|Bar|Game Drives|Bush Walks|Cultural Visits|Camel Rides,Tent|Suite Tent,4.9,Lewa Conservancy|Mount Kenya|Northern Kenya,Ultra Luxury,https://www.lewasafaricamp.com,"Hotel: Lewa Safari Camp. Location: Nanyuki, Kenya. Category: Ultra Luxury. Description: Exclusive tented camp inside Lewa Wildlife Conservancy with big five game viewing. Price range: 500-1200 USD. Amenities: Restaurant, Bar, Game Drives, Bush Walks, Cultural Visits, Camel Rides. Room types: Tent, Suite Tent. Rating: 4.9 out of 5. Nearby attractions: Lewa Conservancy, Mount Kenya, Northern Kenya."
Nanyuki River Lodge,Nanyuki,Laikipia,Kenya,Comfortable mid range lodge on the banks of Nanyuki River,60-180 USD,WiFi|Restaurant|Bar|Garden|Hiking,Standard|Deluxe|Cottage,4.0,Mount Kenya|Nanyuki Town|Equator,Mid-range,https://www.nanyukiriverlodge.com,"Hotel: Nanyuki River Lodge. Location: Nanyuki, Kenya. Category: Mid-range. Description: Comfortable mid range lodge on the banks of Nanyuki River. Price range: 60-180 USD. Amenities: WiFi, Restaurant, Bar, Garden, Hiking. Room types: Standard, Deluxe, Cottage. Rating: 4.0 out of 5. Nearby attractions: Mount Kenya, Nanyuki Town, Equator."
Watamu Treehouse,Watamu,Kilifi,Kenya,Unique treehouse accommodation in a mango forest steps from Watamu Beach,80-200 USD,WiFi|Pool|Beach|Restaurant|Bar|Snorkeling|Bird Watching,Treehouse|Standard,4.4,Watamu Beach|Watamu Marine Park|Arabuko Sokoke Forest,Boutique,https://www.watamuteahouse.com,"Hotel: Watamu Treehouse. Location: Watamu, Kenya. Category: Boutique. Description: Unique treehouse accommodation in a mango forest steps from Watamu Beach. Price range: 80-200 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Snorkeling, Bird Watching. Room types: Treehouse, Standard. Rating: 4.4 out of 5. Nearby attractions: Watamu Beach, Watamu Marine Park, Arabuko Sokoke Forest."
Hemingways Watamu,Watamu,Kilifi,Kenya,Classic beach hotel at Watamu known for deep sea fishing and relaxed atmosphere,100-300 USD,WiFi|Pool|Beach|Restaurant|Bar|Deep Sea Fishing|Snorkeling,Standard|Suite,4.5,Watamu Marine Park|Watamu Beach|Gede Ruins,Beach Resort,https://www.hemingways.com,"Hotel: Hemingways Watamu. Location: Watamu, Kenya. Category: Beach Resort. Description: Classic beach hotel at Watamu known for deep sea fishing and relaxed atmosphere. Price range: 100-300 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Deep Sea Fishing, Snorkeling. Room types: Standard, Suite. Rating: 4.5 out of 5. Nearby attractions: Watamu Marine Park, Watamu Beach, Gede Ruins."
Turtle Bay Beach Club,Watamu,Kilifi,Kenya,All inclusive beach club at Watamu popular with families and divers,80-220 USD,WiFi|Pool|Beach|Restaurant|Bar|Diving|Snorkeling|Entertainment|All Inclusive,Standard|Deluxe|Suite,4.3,Watamu Marine Park|Watamu Beach|Turtle Conservation,All Inclusive,https://www.turtlebay.co.ke,"Hotel: Turtle Bay Beach Club. Location: Watamu, Kenya. Category: All Inclusive. Description: All inclusive beach club at Watamu popular with families and divers. Price range: 80-220 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Diving, Snorkeling, Entertainment, All Inclusive. Room types: Standard, Deluxe, Suite. Rating: 4.3 out of 5. Nearby attractions: Watamu Marine Park, Watamu Beach, Turtle Conservation."
Medina Palms,Watamu,Kilifi,Kenya,Exclusive boutique resort with private pool villas near Watamu Beach,300-700 USD,WiFi|Private Pool|Beach|Restaurant|Bar|Spa,Villa|Suite,4.8,Watamu Beach|Watamu Marine Park|Arabuko Sokoke,Luxury,https://www.medinapalms.com,"Hotel: Medina Palms. Location: Watamu, Kenya. Category: Luxury. Description: Exclusive boutique resort with private pool villas near Watamu Beach. Price range: 300-700 USD. Amenities: WiFi, Private Pool, Beach, Restaurant, Bar, Spa. Room types: Villa, Suite. Rating: 4.8 out of 5. Nearby attractions: Watamu Beach, Watamu Marine Park, Arabuko Sokoke."
Blue Bay Beach Resort,Malindi,Kilifi,Kenya,Affordable beach resort in Malindi with ocean views and water sports,50-150 USD,WiFi|Pool|Beach|Restaurant|Bar|Water Sports,Standard|Deluxe,3.9,Malindi Marine Park|Malindi Town|Gede Ruins,Budget,https://www.bluebaymalindi.com,"Hotel: Blue Bay Beach Resort. Location: Malindi, Kenya. Category: Budget. Description: Affordable beach resort in Malindi with ocean views and water sports. Price range: 50-150 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Water Sports. Room types: Standard, Deluxe. Rating: 3.9 out of 5. Nearby attractions: Malindi Marine Park, Malindi Town, Gede Ruins."
Diamonds Dream of Africa,Malindi,Kilifi,Kenya,Elegant Italian managed beach resort in Malindi with exceptional cuisine,150-400 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Tennis,Standard|Suite|Villa,4.6,Malindi Marine Park|Malindi Town|Watamu,Luxury,https://www.diamonds-thani.com,"Hotel: Diamonds Dream of Africa. Location: Malindi, Kenya. Category: Luxury. Description: Elegant Italian managed beach resort in Malindi with exceptional cuisine. Price range: 150-400 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Tennis. Room types: Standard, Suite, Villa. Rating: 4.6 out of 5. Nearby attractions: Malindi Marine Park, Malindi Town, Watamu."
Kilifi Bay Beach Resort,Kilifi,Kilifi,Kenya,Charming resort on the banks of Kilifi Creek with beautiful mangroves,80-200 USD,WiFi|Pool|Creek Views|Restaurant|Bar|Kayaking|Snorkeling,Standard|Suite|Cottage,4.3,Kilifi Creek|Mnarani Ruins|Watamu,Beach Resort,https://www.kilifibaycreekresort.com,"Hotel: Kilifi Bay Beach Resort. Location: Kilifi, Kenya. Category: Beach Resort. Description: Charming resort on the banks of Kilifi Creek with beautiful mangroves. Price range: 80-200 USD. Amenities: WiFi, Pool, Creek Views, Restaurant, Bar, Kayaking, Snorkeling. Room types: Standard, Suite, Cottage. Rating: 4.3 out of 5. Nearby attractions: Kilifi Creek, Mnarani Ruins, Watamu."
Rusinga Island Lodge,Kisumu,Homa Bay,Kenya,Exclusive private island lodge on Lake Victoria with stunning sunset views,300-700 USD,WiFi|Pool|Lake View|Restaurant|Bar|Fishing|Bird Watching|Boat Rides,Cottage|Suite,4.8,Lake Victoria|Rusinga Island|Tom Mboya Shrine,Luxury,https://www.rusingaisland.com,"Hotel: Rusinga Island Lodge. Location: Kisumu, Kenya. Category: Luxury. Description: Exclusive private island lodge on Lake Victoria with stunning sunset views. Price range: 300-700 USD. Amenities: WiFi, Pool, Lake View, Restaurant, Bar, Fishing, Bird Watching, Boat Rides. Room types: Cottage, Suite. Rating: 4.8 out of 5. Nearby attractions: Lake Victoria, Rusinga Island, Tom Mboya Shrine."
Imperial Hotel Kisumu,Kisumu,Kisumu,Kenya,Historic hotel in Kisumu city centre with lake views and business facilities,40-100 USD,WiFi|Restaurant|Bar|Conference|Parking,Standard|Deluxe|Suite,3.8,Lake Victoria|Kisumu Museum|Impala Sanctuary,Mid-range,https://www.imperialhotelkisumu.com,"Hotel: Imperial Hotel Kisumu. Location: Kisumu, Kenya. Category: Mid-range. Description: Historic hotel in Kisumu city centre with lake views and business facilities. Price range: 40-100 USD. Amenities: WiFi, Restaurant, Bar, Conference, Parking. Room types: Standard, Deluxe, Suite. Rating: 3.8 out of 5. Nearby attractions: Lake Victoria, Kisumu Museum, Impala Sanctuary."
Acacia Premier Hotel,Kisumu,Kisumu,Kenya,Modern upscale hotel in Kisumu with rooftop pool and lake views,80-200 USD,WiFi|Pool|Restaurant|Bar|Gym|Conference|Rooftop,Standard|Deluxe|Suite,4.4,Lake Victoria|Kisumu CBD|Hippo Point,Business,https://www.acaciapremierhotel.com,"Hotel: Acacia Premier Hotel. Location: Kisumu, Kenya. Category: Business. Description: Modern upscale hotel in Kisumu with rooftop pool and lake views. Price range: 80-200 USD. Amenities: WiFi, Pool, Restaurant, Bar, Gym, Conference, Rooftop. Room types: Standard, Deluxe, Suite. Rating: 4.4 out of 5. Nearby attractions: Lake Victoria, Kisumu CBD, Hippo Point."
Kiboko Bay Resort,Kisumu,Kisumu,Kenya,Relaxed lakeside resort on the shores of Lake Victoria popular with backpackers,30-80 USD,WiFi|Lake View|Restaurant|Bar|Fishing|Kayaking,Standard|Dorm|Cottage,4.0,Lake Victoria|Hippo Point|Kisumu Bird Sanctuary,Budget,https://www.kibokobay.com,"Hotel: Kiboko Bay Resort. Location: Kisumu, Kenya. Category: Budget. Description: Relaxed lakeside resort on the shores of Lake Victoria popular with backpackers. Price range: 30-80 USD. Amenities: WiFi, Lake View, Restaurant, Bar, Fishing, Kayaking. Room types: Standard, Dorm, Cottage. Rating: 4.0 out of 5. Nearby attractions: Lake Victoria, Hippo Point, Kisumu Bird Sanctuary."
Lamu House Hotel,Lamu,Lamu,Kenya,Beautifully restored Swahili mansion in Lamu Old Town with rooftop terrace,100-300 USD,WiFi|Restaurant|Bar|Rooftop Terrace|Historic Architecture,Standard|Suite,4.6,Lamu Old Town|Lamu Fort|Shela Beach,Boutique,https://www.lamuhouse.com,"Hotel: Lamu House Hotel. Location: Lamu, Kenya. Category: Boutique. Description: Beautifully restored Swahili mansion in Lamu Old Town with rooftop terrace. Price range: 100-300 USD. Amenities: WiFi, Restaurant, Bar, Rooftop Terrace, Historic Architecture. Room types: Standard, Suite. Rating: 4.6 out of 5. Nearby attractions: Lamu Old Town, Lamu Fort, Shela Beach."
Peponi Hotel,Lamu,Lamu,Kenya,Legendary boutique hotel at Shela Beach Lamu known for its relaxed atmosphere,150-400 USD,WiFi|Pool|Beach|Restaurant|Bar|Dhow Trips|Snorkeling,Standard|Suite,4.7,Shela Beach|Lamu Old Town|Manda Island,Boutique,https://www.peponi-lamu.com,"Hotel: Peponi Hotel. Location: Lamu, Kenya. Category: Boutique. Description: Legendary boutique hotel at Shela Beach Lamu known for its relaxed atmosphere. Price range: 150-400 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Dhow Trips, Snorkeling. Room types: Standard, Suite. Rating: 4.7 out of 5. Nearby attractions: Shela Beach, Lamu Old Town, Manda Island."
Majlis Resort,Lamu,Lamu,Kenya,Luxury Swahili style resort on Manda Island accessible only by boat,300-700 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Dhow Trips,Suite|Villa,4.8,Manda Island|Lamu Old Town|Shela Beach,Luxury,https://www.themajlishotels.com,"Hotel: Majlis Resort. Location: Lamu, Kenya. Category: Luxury. Description: Luxury Swahili style resort on Manda Island accessible only by boat. Price range: 300-700 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Dhow Trips. Room types: Suite, Villa. Rating: 4.8 out of 5. Nearby attractions: Manda Island, Lamu Old Town, Shela Beach."
Amu House,Lamu,Lamu,Kenya,Traditional Swahili guesthouse in the heart of Lamu Old Town,50-150 USD,WiFi|Restaurant|Rooftop Terrace|Historic Architecture,Standard|Suite,4.2,Lamu Old Town|Lamu Fort|Lamu Museum,Budget,https://www.amuhouse.com,"Hotel: Amu House. Location: Lamu, Kenya. Category: Budget. Description: Traditional Swahili guesthouse in the heart of Lamu Old Town. Price range: 50-150 USD. Amenities: WiFi, Restaurant, Rooftop Terrace, Historic Architecture. Room types: Standard, Suite. Rating: 4.2 out of 5. Nearby attractions: Lamu Old Town, Lamu Fort, Lamu Museum."
JW Marriott Zanzibar,Stone Town,Zanzibar,Tanzania,Luxury beachfront resort in Zanzibar with infinity pool and world class spa,250-700 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Gym|Water Sports,Standard|Deluxe|Suite|Villa,4.8,Stone Town|Spice Farms|Nungwi Beach,Luxury,https://www.marriott.com,"Hotel: JW Marriott Zanzibar. Location: Stone Town, Tanzania. Category: Luxury. Description: Luxury beachfront resort in Zanzibar with infinity pool and world class spa. Price range: 250-700 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Gym, Water Sports. Room types: Standard, Deluxe, Suite, Villa. Rating: 4.8 out of 5. Nearby attractions: Stone Town, Spice Farms, Nungwi Beach."
Zanzibar Serena Hotel,Stone Town,Zanzibar,Tanzania,Historic colonial hotel in Stone Town with Indian Ocean views,150-400 USD,WiFi|Pool|Restaurant|Bar|Spa|Cultural Tours,Standard|Suite,4.6,Stone Town|Old Fort|Forodhani Gardens,Luxury,https://www.serenahotels.com,"Hotel: Zanzibar Serena Hotel. Location: Stone Town, Tanzania. Category: Luxury. Description: Historic colonial hotel in Stone Town with Indian Ocean views. Price range: 150-400 USD. Amenities: WiFi, Pool, Restaurant, Bar, Spa, Cultural Tours. Room types: Standard, Suite. Rating: 4.6 out of 5. Nearby attractions: Stone Town, Old Fort, Forodhani Gardens."
Baraza Resort and Spa,Bwejuu,Zanzibar,Tanzania,Award winning luxury resort on the east coast of Zanzibar with stunning beach,400-1000 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Butler Service|Water Sports,Suite|Villa,4.9,Bwejuu Beach|Jozani Forest|Stone Town,Ultra Luxury,https://www.baraza-zanzibar.com,"Hotel: Baraza Resort and Spa. Location: Bwejuu, Tanzania. Category: Ultra Luxury. Description: Award winning luxury resort on the east coast of Zanzibar with stunning beach. Price range: 400-1000 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Butler Service, Water Sports. Room types: Suite, Villa. Rating: 4.9 out of 5. Nearby attractions: Bwejuu Beach, Jozani Forest, Stone Town."
Matemwe Lodge,Matemwe,Zanzibar,Tanzania,Intimate boutique lodge on the northeast coast of Zanzibar with house reef,200-600 USD,WiFi|Pool|Beach|Restaurant|Bar|Diving|Snorkeling,Standard|Suite|Villa,4.7,Matemwe Beach|Mnemba Atoll|Stone Town,Boutique,https://www.asiliaafrica.com,"Hotel: Matemwe Lodge. Location: Matemwe, Tanzania. Category: Boutique. Description: Intimate boutique lodge on the northeast coast of Zanzibar with house reef. Price range: 200-600 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Diving, Snorkeling. Room types: Standard, Suite, Villa. Rating: 4.7 out of 5. Nearby attractions: Matemwe Beach, Mnemba Atoll, Stone Town."
Zanzibar Beach Resort,Nungwi,Zanzibar,Tanzania,Popular beach resort at Nungwi known for its crystal clear waters and nightlife,80-250 USD,WiFi|Pool|Beach|Restaurant|Bar|Water Sports|Entertainment,Standard|Deluxe|Suite,4.2,Nungwi Beach|Kendwa Beach|Stone Town,Beach Resort,https://www.zanzibar-resort.com,"Hotel: Zanzibar Beach Resort. Location: Nungwi, Tanzania. Category: Beach Resort. Description: Popular beach resort at Nungwi known for its crystal clear waters and nightlife. Price range: 80-250 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Water Sports, Entertainment. Room types: Standard, Deluxe, Suite. Rating: 4.2 out of 5. Nearby attractions: Nungwi Beach, Kendwa Beach, Stone Town."
Kilindi Zanzibar,Kendwa,Zanzibar,Tanzania,Ultra exclusive boutique resort with only 15 pavilions and private beach,500-1500 USD,WiFi|Pool|Beach|Restaurant|Bar|Spa|Yoga,Pavilion|Suite,5.0,Kendwa Beach|Nungwi Beach|Stone Town,Ultra Luxury,https://www.kilindi.com,"Hotel: Kilindi Zanzibar. Location: Kendwa, Tanzania. Category: Ultra Luxury. Description: Ultra exclusive boutique resort with only 15 pavilions and private beach. Price range: 500-1500 USD. Amenities: WiFi, Pool, Beach, Restaurant, Bar, Spa, Yoga. Room types: Pavilion, Suite. Rating: 5.0 out of 5. Nearby attractions: Kendwa Beach, Nungwi Beach, Stone Town."
